age_CE	trsgi	numsamp
1934	0.936	27
1935	1.339	27
1936	0.868	27
1937	1.001	27
1938	1.114	27
1939	0.897	26
1940	0.877	26
1941	0.996	26
1942	1.11	26
1943	0.889	26
1944	0.662	26
1945	0.775	26
1946	0.886	26
1947	1.139	26
1948	1.123	26
1949	0.967	26
1950	1.199	25
1951	1.229	24
1952	1.088	24
1953	1.055	24
1954	1.106	24
1955	0.94	24
1956	1.028	24
1957	0.746	23
1958	0.502	23
1959	0.546	23
1960	0.756	23
1961	0.536	16
1962	0.648	12
1963	0.89	12
1964	0.752	12
1965	0.92	12
1966	0.789	12
1967	0.771	12
1968	0.763	11
1969	0.696	11
1970	0.754	11
1971	0.878	9
1972	0.83	9
1973	0.856	9
1974	0.924	9
